"species","CommonName"
"Acanthocybium solandri","Wahoo"
"Acanthuridae","Surgeonfishes, tangs, unicornfishes"
"Anadara","Anadara clams"
"Apogonidae","Cardinalfishes"
"Atherinidae","Silversides"
"Balistidae","Triggerfishes"
"Bivalvia","Clams"
"Brachyura","Marine crabs"
"Carangidae","Jacks and pompanos"
"Chanos chanos","Milkfish"
"Echinoidea","Sea urchins"
"Epinephelus","Groupers"
"Gerreidae","Mojarras"
"Gymnocranius","Large-eye breams"
"Hemiramphidae","Halfbeaks"
"Herklotsichthys quadrimaculatus","Bluestripe herring"
"Holothuriidae","Sea cucumbers"
"Labridae","Wrasses"
"Leiognathidae","Slimys, slipmouths, or ponyfishes"
"Lethrinidae","Emperors or scavengers"
"Lutjanidae","Snappers"
"Marine fishes not identified","Marine fishes not identified"
"Miscellaneous aquatic invertebrates","Miscellaneous aquatic invertebrates"
"Miscellaneous marine crustaceans","Miscellaneous marine crustaceans"
"Miscellaneous marine molluscs","Marine molluscs"
"Mugilidae","Mullets"
"Mullidae","Goatfishes"
"Octopoda","Octopuses"
"Panulirus","Tropical spiny lobsters"
"Perciformes","Perch-likes"
"Rastrelliger kanagurta","Indian mackerel"
"Sardinella","Sardinella"
"Scomberomorus commerson","Narrow-barred Spanish mackerel"
"Scombridae","Mackerels, tunas, bonitos"
"Scylla serrata","Indo-Pacific swamp crab"
"Serranidae","Sea basses, groupers, fairy basslets"
"Siganus","Rabbitfishes"
"Sphyraena","Barracudas"
"Sphyraenidae","Barracudas"
"Spratelloides gracilis","Silverstriped round herring"
"Auxis","Frigate tuna"
"Caesionidae","Fusiliers"
"Carcharhinidae","Requiem sharks"
"Cephalopholis boenak","Chocolate hind"
"Cheilinus undulatus","Humphead wrasse"
"Clupeiformes","Herrings"
"Coryphaena hippurus","Common dolphinfish"
"Dasyatidae","Stingrays"
"Decapterus","Scads"
"Decapterus russelli","Indian scad"
"Elagatis bipinnulata","Rainbow runner"
"Epinephelus merra","Honeycomb grouper"
"Euthynnus affinis","Kawakawa"
"Exocoetidae","Flyingfishes"
"Haemulidae","Grunts"
"Istiophoridae","Billfishes"
"Katsuwonus pelamis","Skipjack tuna"
"Loligo","Common squids"
"Makaira indica","Black marlin"
"Makaira mazara","Indo-Pacific blue marlin"
"Megalops cyprinoides","Indo-Pacific tarpon"
"Muraenesox","Conger eels"
"Myliobatidae","Eagle and manta rays"
"Nemipteridae","Threadfin breams, Whiptail breams"
"Plectropomus leopardus","Leopard coralgrouper"
"Plotosus","Eel catfishes"
"Priacanthus","Bigeyes"
"Rajiformes","Skates and rays"
"Rastrelliger brachysoma","Short mackerel"
"Saurida tumbil","Greater lizardfish"
"Scaridae","Parrotfishes"
"Scolopsis","Monocle breams"
"Scorpaenidae","Scorpionfishes or rockfishes"
"Scyllaridae","Slipper lobsters"
"Sepiidae","Cuttlefishes"
"Seriola","Amberjacks"
"Shrimps, prawns","Shrimps, prawns"
"Sphyraena barracuda","Great barracuda"
"Sphyraena jello","Pickhandle barracuda"
"Sphyrnidae","Hammerhead, bonnethead, scoophead shark"
"Squalidae","Dogfish sharks"
"Tetrapturus audax","Striped marlin"
"Teuthida","Squids"
"Thunnus","Tuna"
"Thunnus alalunga","Albacore"
"Thunnus albacares","Yellowfin tuna"
"Thunnus maccoyii","Southern bluefin tuna"
"Thunnus obesus","Bigeye tuna"
"Trichiuridae","Cutlassfishes"
"Trichiurus lepturus","Largehead hairtail"
"Upeneus","Tropical goatfishes"
"Xiphias gladius","Swordfish"
"Kajikia audax",NA
"Istiompax indica",NA
